rate_id,from_currency,to_currency,exchange_rate,effective_date,expiry_date,source
ER001,USD,INR,83.25,2024-01-01,2024-01-31,RBI
ER002,EUR,INR,90.50,2024-01-01,2024-01-31,RBI
ER003,GBP,INR,105.75,2024-01-01,2024-01-31,RBI
ER004,AED,INR,22.65,2024-01-01,2024-01-31,RBI
ER005,SGD,INR,61.80,2024-01-01,2024-01-31,RBI
ER006,USD,INR,83.50,2024-02-01,2024-02-29,RBI
ER007,EUR,INR,91.20,2024-02-01,2024-02-29,RBI
ER008,GBP,INR,106.30,2024-02-01,2024-02-29,RBI
ER009,AED,INR,22.72,2024-02-01,2024-02-29,RBI
ER010,SGD,INR,62.10,2024-02-01,2024-02-29,RBI
