transaction_id,account_id,transaction_type,amount,currency,transaction_date,transaction_time,description,merchant_id,channel,reference_number,status,balance_after,remarks
TXN001,ACC001,Debit,5000.00,INR,2024-01-05,10:23:45,Online Shopping,M001,NET_BANKING,REF001,Success,120000.50,
TXN002,ACC001,Credit,25000.00,INR,2024-01-06,14:15:30,Salary Credit,,NEFT,REF002,Success,145000.50,
TXN003,ACC002,Debit,150000.00,INR,2024-01-07,09:45:00,Vendor Payment,M008,NET_BANKING,REF003,Success,700000.00,
TXN004,ACC003,Debit,2000.00,INR,2024-01-08,16:30:00,Food Order,M003,UPI,REF004,Success,43000.75,
TXN005,ACC004,Debit,1500.00,INR,2024-01-09,11:20:00,Grocery,M005,DEBIT_CARD,REF005,Failed,3456789012,Insufficient Balance
TXN006,ACC005,Debit,500.00,INR,2024-01-10,08:00:00,ATM Withdrawal,,ATM,REF006,Success,77500.25,
TXN007,ACC006,Debit,500000.00,INR,2024-01-11,22:45:00,Large Transfer,,NEFT,REF007,Success,750000.00,Suspicious
TXN008,ACC007,Debit,3000.00,INR,2024-01-12,13:10:00,Travel Booking,M009,NET_BANKING,REF008,Success,317000.00,
TXN009,ACC008,Credit,5000.00,INR,2024-01-13,17:25:00,Transfer Received,,IMPS,REF009,Success,33000.50,
TXN010,ACC009,Debit,1000000.00,INR,2024-01-14,03:30:00,Night Transfer,,NEFT,REF010,Success,1500000.00,High Value Night
TXN011,ACC010,Debit,800.00,INR,2024-01-15,12:00:00,Medicine,M011,UPI,REF011,Success,64200.00,
TXN012,ACC001,Debit,-500.00,INR,2024-01-16,10:00:00,Reversal,,NET_BANKING,REF012,Success,144500.50,Negative Amount
TXN013,ACC011,Debit,45000.00,INR,2024-01-17,15:30:00,Crypto Purchase,M014,NET_BANKING,REF013,Success,47000.75,
TXN014,ACC012,Credit,50000.00,INR,2024-01-18,09:00:00,Investment Return,,NEFT,REF014,Success,230000.00,
TXN015,ACC013,Debit,200000.00,INR,2024-01-19,14:45:00,FD Withdrawal,,INTERNAL,REF015,Success,300000.00,
TXN016,ACC014,Debit,500.00,INR,2024-01-20,11:30:00,Food Order,M004,UPI,REF016,Success,8000.50,
TXN017,ACC015,Debit,1000.00,USD,2024-01-21,16:15:00,International Transfer,,SWIFT,REF017,Success,21000.00,Foreign Currency
TXN018,ACC016,Debit,75000.00,INR,2024-01-22,10:45:00,Jewelry Purchase,,DEBIT_CARD,REF018,Success,70000.75,
TXN019,ACC017,Credit,10000.00,INR,2024-01-23,08:30:00,Transfer,,IMPS,REF019,Success,18500.50,
TXN020,ACC018,Debit,2500.00,INR,2024-01-24,13:00:00,Shopping,M002,NET_BANKING,REF020,Success,52500.00,
TXN021,ACC999,Debit,5000.00,INR,2024-01-25,17:45:00,Unknown Account,,UPI,REF021,Failed,,Orphan Transaction
TXN022,ACC020,Debit,800000.00,INR,2024-01-26,02:15:00,Night Large Transfer,,NEFT,REF022,Success,1700000.00,Suspicious Night
TXN023,ACC021,Debit,3000.00,INR,2024-01-27,12:30:00,Grocery,M005,UPI,REF023,Success,12000.25,
TXN024,ACC022,Credit,1000000.00,INR,2024-01-28,10:00:00,Business Receipt,,NEFT,REF024,Success,5500000.00,
TXN025,ACC023,Debit,1000.00,INR,2024-01-29,15:15:00,Food,M003,UPI,REF025,Success,8500.00,
TXN026,ACC024,Debit,2000000.00,INR,2024-01-30,11:00:00,Property Payment,,RTGS,REF026,Success,6500000.00,
TXN027,ACC025,Debit,5000.00,INR,2024-01-31,16:30:00,Shopping,M001,NET_BANKING,REF027,Success,26000.25,
TXN028,ACC001,Debit,3000.00,INR,2025-02-01,09:15:00,Future Date,,NET_BANKING,REF028,Success,141500.50,Future Date Error
TXN029,ACC002,Debit,25000.00,INR,2024-02-02,14:00:00,Vendor Payment,,NEFT,REF029,Success,675000.00,
TXN030,ACC003,Credit,15000.00,INR,2024-02-03,10:30:00,Transfer,,IMPS,REF030,Success,58000.75,
TXN001,ACC001,Debit,5000.00,INR,2024-01-05,10:23:45,Duplicate Transaction,M001,NET_BANKING,REF001,Success,120000.50,Duplicate
TXN031,ACC004,Debit,NULL,INR,2024-02-05,11:45:00,NULL Amount,,UPI,REF031,Failed,,Null Amount
TXN032,ACC005,Debit,2000.00,INR,2024-02-06,13:00:00,Shopping,M002,DEBIT_CARD,REF032,Success,75500.25,
TXN033,ACC006,Debit,300000.00,usd,2024-02-07,15:30:00,Foreign Transfer,,SWIFT,REF033,Success,950000.00,Currency Issue
TXN034,ACC007,Credit,100000.00,INR,2024-02-08,09:45:00,Transfer,,NEFT,REF034,Success,417000.00,
TXN035,ACC008,Debit,1500.00,INR,2024-02-09,16:00:00,Medicine,M011,UPI,REF035,Success,31500.50,
